Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	3, 2, 1, 4, 5
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	1, 6, 7, 8
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	1
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	2, 9
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	2, 6, 9, 8
O=O	10, 1, 2
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	1, 4, 2, 3
O=P(O)(O)O	1, 2
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS	11, 12, 13
O=C=O	3, 14, 15, 0, 16, 17, 18, 10, 19, 20, 21
*C(N)C(=O)NC(*)C(=O)O	22
O=P(O)(O)OP(=O)(O)O	1
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	4, 25
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C	26
*[C@H](N)C(=O)N[C@@H](*)C(=O)O	27
Cc1ncc(COP(=O)(O)O)c(C=O)c1O	28, 7
C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	29, 4, 30, 22, 31
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	3, 4
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	30
CC(=O)C(=O)O	13, 7, 30, 32, 22, 14, 33, 0, 34, 35, 16, 36, 37, 38, 39, 40, 41, 29, 42, 43, 44, 45, 8, 46, 10, 47, 48, 49, 50, 19, 5, 24
CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	51, 52, 11, 53, 54, 31, 55, 56, 34, 57, 35, 16, 36, 37, 58, 39, 40, 43, 59, 9, 45, 10, 60, 47, 48, 49, 50, 61, 19, 62, 63, 21, 5
N[C@@H](CCC(=O)O)C(=O)O	64, 22, 65, 15, 35, 37, 17, 38, 39, 42, 12, 66, 9, 10, 24, 5
